"col","season","date","subcol","active_ct","occ_ct","total_ct","notes"
"croz","2004",2004-12-03,"11",19,NA,20,NA
"croz","2005",2005-11-30,"11",17,NA,23,NA
"croz","2006",2006-11-29,"11",15,NA,16,NA
"croz","2007",2007-11-30,"11",15,NA,15,NA
"croz","2008",2008-11-27,"11",16,NA,19,NA
"croz","2009",2009-12-02,"11",14,NA,27.6666666666667,NA
"croz","2010",2010-11-26,"11",20,NA,27,NA
"croz","2011",2011-12-01,"11",17.75,20.25,23,NA
"croz","2012",2012-11-28,"11",16,22,22,NA
"croz","2013",2013-12-04,"11",19,19,20,NA
"croz","2014",2014-12-03,"11",20.3333333333333,25.5,31.6666666666667,NA
"croz","2015",2015-12-02,"11",22,24,25,NA
"croz","2016",2016-12-02,"11",24,24,25,NA
"croz","2017",2017-11-30,"11",23,24,25,NA
"croz","2018",2018-11-28,"11",28,29,29.5,NA
"croz","2019",2019-11-28,"11",31,32,34,NA
"croz","2020",2020-11-30,"11",31,33,37,NA
"croz","2021",2021-11-29,"11",12,13,14,NA
"croz","2004",2004-12-03,"12",266,NA,NA,NA
"croz","2005",2005-11-30,"12",256,NA,314,NA
"croz","2006",2006-11-29,"12",235,NA,NA,NA
"croz","2007",2007-11-30,"12",208.25,NA,289.5,NA
"croz","2008",2008-11-27,"12",301,NA,374,"suggest do not use, little separation between 12 and 8 possibly not visible on aerial"
"croz","2009",2009-12-02,"12",269,NA,423,NA
"croz","2011",2011-12-01,"12",265,347.333333333333,393.666666666667,NA
"croz","2012",2012-11-28,"12",263.333333333333,301,358.666666666667,NA
"croz","2013",2013-12-04,"12",296.5,304.5,322.5,NA
"croz","2014",2014-12-03,"12",285.5,337.5,374.333333333333,NA
"croz","2015",2015-12-02,"12",281.333333333333,313.666666666667,349.333333333333,NA
"croz","2016",2016-12-02,"12",297.333333333333,305.666666666667,322.333333333333,NA
"croz","2017",2017-11-30,"12",318.5,346,375.5,NA
"croz","2018",2018-11-28,"12",358,366,379,NA
"croz","2019",2019-11-28,"12",379.5,399,423.5,NA
"croz","2020",2020-11-30,"12",408,441,490,NA
"croz","2021",2021-11-29,"12",311,340,368.5,NA
"croz","2003",2003-12-04,"14",19,NA,29,NA
"croz","2004",2004-12-03,"14",41,NA,44,NA
"croz","2005",2005-11-30,"14",41,NA,51,NA
"croz","2006",2006-11-29,"14",44,NA,NA,NA
"croz","2007",2007-11-30,"14",42,NA,48.3333333333333,NA
"croz","2008",2008-11-27,"14",46,NA,53,NA
"croz","2009",2009-12-02,"14",52.5,NA,78,NA
"croz","2011",2011-12-01,"14",40.3333333333333,53.25,60.5,NA
"croz","2012",2012-11-28,"14",43,52.6666666666667,60.6666666666667,NA
"croz","2013",2013-12-04,"14",50,51,52.6666666666667,NA
"croz","2014",2014-12-03,"14",44.5,52.75,66,NA
"croz","2015",2015-12-02,"14",49.5,53,58,NA
