"COLONY","YEAR","DATE","WEEK","CHICK_NO","NEST_NO","WEIGHT","BAGWEIGHT","ADJ_WT","WING","CRECHE","INDEX","SUBCOLONY","Cr.wing","NOTES","Col13","Col14","BAND","PROOFED","average","sample.no","feather","BANDNUMB"
"CROZ",1996,1997-01-01,1,1,1,650,125,525,NA,NA,NA,NA,NA,"Adjustment for Crozier wing is Royds wing + 8%",NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,2,1,1125,125,1000,81,NA,12.3456790123457,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,3,2,1500,125,1375,106,NA,12.9716981132075,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,4,2,1500,125,1375,116,NA,11.8534482758621,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,5,3,760,125,635,74,NA,8.58108108108108,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,6,4,2025,125,1900,153,NA,12.4183006535948,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,7,5,1050,175,875,77,NA,11.3636363636364,NA,259,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,8,5,885,125,760,81,NA,9.38271604938272,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,9,6,550,125,425,51,NA,8.33333333333333,NA,285,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,10,6,525,125,400,50,NA,8,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,11,7,2005,175,1830,135,NA,13.5555555555556,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,12,7,1885,175,1710,122,NA,14.016393442623,NA,214,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,13,8,2635,175,2460,155,NA,15.8709677419355,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,14,9,1375,175,1200,126,NA,9.52380952380952,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,15,9,1875,175,1700,125,NA,13.6,NA,211,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,16,10,1050,125,925,78,NA,11.8589743589744,NA,258,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,17,10,700,125,575,62,NA,9.2741935483871,NA,274,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CROZ",1996,1997-01-01,1,18,11,1500,175,1325,129,NA,10.2713178294574,NA,207,NA,NA,NA,NA,NA,NA,NA,NA,NA
