"study","orig_col","br_col","season","deploy_num","bird_id","bad_avid","cohort","yr_marked","age","br_exp","device_id","deploy_date","deploy_time","mass_depl","torso_depl","retrieve_date","retrieve_time","mass_retr","torso_retr","breeder","success","nucrec","date_meas","flipper","bill_length","bill_depth","sex","sex_how","bqi","breeder_prev","success_prev","nucrec_prev","breeder_next","success_next","nucrec_next","removed","filename","start_rec","end_rec","data","data_days","rebooted","bird_fn","locs_filename","dives_filename"
"KA","CROZ","CROZ",2016,1,32019,NA,2008,NA,8,1,6075,2016-12-19,15:43:25,4250,525,2017-11-04,15:46:00,4730,523,1,1,2,2016-12-19,181,24.43,17.56,"M","DNA",-0.0968242545270013,1,0,0,0,0,0,0,"000032019_6075c16.txt","11/15/2016","11/19/2017","c",369,0,32019,"32019_movementSummary.csv","000032019_6075c16_diveStats.csv"
"KA","CROZ","CROZ",2017,2,32019,NA,2008,NA,9,2,1706161,2017-11-04,15:46:00,4730,523,NA,NA,NA,NA,0,0,0,2016-12-19,181,24.43,17.56,"M","DNA",-0.0968242545270013,1,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,32019,NA,NA
"KA","CROZ","CROZ",2016,1,32124,NA,2008,NA,8,0,6021,2016-12-04,NA,4025,533,NA,NA,NA,NA,1,1,2,2016-12-04,185,23.59,15.89,"F","DNA",0.0455118153046644,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,32124,NA,NA
"KA","CROZ","CROZ",2017,1,32159,NA,2008,NA,9,1,1706107,2018-01-11,17:17:00,2930,385,2018-11-03,17:42:00,3850,446,1,0,0,2018-01-11,167,21.83,15.48,"F","DNA",0.0149611486624416,1,0,0,1,1,1,0,"000032159_0107c17.txt","10/20/2017","2/26/2019","c",494,0,32159,"32159_movementSummary.csv","000032159_0107c17_diveStats.csv"
"KA","CROZ","CROZ",2018,2,32159,NA,2008,NA,10,2,1706039,2018-11-03,17:42:00,3850,446,2019-11-10,16:19:00,4220,477,1,1,1,2018-01-11,167,21.83,15.48,"F","DNA",0.0149611486624416,1,0,0,1,1,8,0,NA,NA,NA,NA,NA,NA,32159,NA,NA
"KA","CROZ","CROZ",2016,1,32189,NA,2008,NA,8,0,6069,2016-11-30,20:01:00,3725,513,2017-11-17,18:39:00,4450,531,1,0,0,2016-11-30,182,23.55,18.47,"M","DNA",-0.133452306410282,0,0,0,0,0,0,0,"000032189_6069c16.txt","11/15/2016","11/19/2017","c",369,0,32189,"32189_movementSummary.csv","000032189_6069c16_diveStats.csv"
"KA","CROZ","CROZ",2017,2,32189,NA,2008,NA,9,1,1706159,2017-11-17,18:39:00,4450,531,2018-11-06,17:36:00,5370,535,0,0,0,2016-11-30,182,23.55,18.47,"M","DNA",-0.133452306410282,1,0,0,1,1,1,0,"000032189_0159c17.txt","10/20/2017","6/1/2018","i",224,0,32189,"32189_movementSummary.csv","000032189_0159c17_diveStats.csv"
"KA","CROZ","CROZ",2018,3,32189,NA,2008,NA,10,1,1801099,2018-11-06,17:36:00,5370,535,2019-11-08,18:36:00,5140,490,1,1,1,2016-11-30,182,23.55,18.47,"M","DNA",-0.133452306410282,0,0,0,1,1,1,0,"000032189_1801099c18.txt","11/1/2018","3/9/2020","c",494,0,32189,"32189_movementSummary.csv","000032189_1801099c18_diveStats.csv"
"KA","CROZ","CROZ",2017,1,32204,NA,2008,NA,9,1,1706168,2018-01-11,16:13:00,3900,459,2018-11-02,14:06:00,4420,495,1,1,1,2018-01-11,180,21.68,14.93,"F","DNA",0.214961148662442,1,1,1,1,1,1,0,"000032204_0168c17.txt","10/20/2017","2/18/2019","c",486,0,32204,"32204_movementSummary.csv","000032204_0168c17_diveStats.csv"
"KA","CROZ","CROZ",2018,2,32204,NA,2008,NA,10,2,1725011,2018-11-02,14:06:00,4420,495,NA,NA,NA,NA,1,1,1,2018-01-11,180,21.68,14.93,"F","DNA",0.214961148662442,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,32204,NA,NA
"KA","CROZ","CROZ",2016,1,32248,NA,2008,NA,8,0,6085,2016-12-21,19:23:43,4400,505,NA,NA,NA,NA,1,0,0,2016-12-21,189,21.58,15.92,"F","DNA",-0.160867612195813,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,32248,NA,NA
"KA","CROZ","CROZ",2016,1,32565,NA,2008,NA,8,1,558,2016-12-14,17:39:14,4900,525,NA,NA,NA,NA,1,1,1,2016-12-14,176,26.22,18.81,"M","DNA",0.43140495087433,1,1,8,0,0,0,0,NA,NA,NA,NA,NA,NA,32565,NA,NA
"KA","CROZ","CROZ",2016,1,43318,NA,1999,NA,17,1,328,2016-12-14,16:20:00,5250,525,2017-11-20,18:22:00,4750,471,1,1,8,2016-12-14,195,25.07,17.71,"M","DNA",0.013028776393059,1,0,0,0,0,0,0,"000043318_0328c16.txt","11/15/2016","11/19/2017","c",369,0,43318,"43318_movementSummary.csv","000043318_0328c16_diveStats.csv"
"KA","CROZ","CROZ",2017,2,43318,NA,1999,NA,18,2,1706014,2017-11-20,18:22:00,4750,471,NA,NA,NA,NA,0,0,0,2016-12-14,195,25.07,17.71,"M","DNA",0.013028776393059,1,1,8,0,0,0,0,NA,NA,NA,NA,NA,NA,43318,NA,NA
"KA","CROZ","CROZ",2016,1,43907,NA,1999,NA,17,1,6012,2016-12-05,16:35:03,4600,521,2017-11-11,18:22:00,4980,543,1,0,0,2016-12-05,201,23.31,17.52,"F","field",-0.0503974080216181,1,0,0,1,1,2,0,"000043907_6012c16.txt","11/15/2016","11/19/2017","c",369,0,43907,"43907_movementSummary.csv","000043907_6012c16_diveStats.csv"
"KA","CROZ","CROZ",2017,2,43907,NA,1999,NA,18,2,1706105,2017-11-11,18:22:00,4980,543,NA,NA,NA,NA,1,1,2,2016-12-05,201,23.31,17.52,"F","field",-0.0503974080216181,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,43907,NA,NA
"KA","CROZ","CROZ",2016,1,44403,NA,2000,NA,16,1,6050,2016-11-29,17:46:00,4675,507,NA,NA,NA,NA,1,0,0,2016-11-29,173,21.68,16.7,"F","field",-0.155557915368566,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,44403,NA,NA
"KA","CROZ","CROZ",2016,1,44953,NA,2000,NA,16,1,553,2016-12-14,15:34:25,4900,510,2017-11-19,19:55:00,5150,534,1,1,1,2016-12-14,188,23.83,19.4,"M","DNA",-0.0532323768052761,1,1,1,1,0,0,0,"000044953_0553c16.txt","11/15/2016","11/19/2017","c",369,0,44953,"44953_movementSummary.csv","000044953_0553c16_diveStats.csv"
"KA","CROZ","CROZ",2017,2,44953,NA,2000,NA,17,2,1706033,2017-11-19,19:55:00,5150,534,NA,NA,NA,NA,1,0,0,2016-12-14,188,23.83,19.4,"M","DNA",-0.0532323768052761,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,44953,NA,NA
"KA","CROZ","CROZ",2017,1,45981,NA,2004,NA,13,2,1706147,2017-12-16,19:32:00,5110,515,NA,NA,NA,NA,1,1,1,2017-12-16,185,23.42,18.45,"M","DNA",-0.0488715845988808,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,45981,NA,NA
"KA","CROZ","CROZ",2016,1,45983,NA,2004,NA,12,0,531,2016-12-13,18:11:00,3700,497,NA,NA,NA,NA,1,1,1,2016-12-13,183,24.6,16.8,"F","DNA",-0.11816967134691,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,45983,NA,NA
"KA","CROZ","CROZ",2018,1,46133,NA,2002,NA,16,2,1801123,2018-12-16,15:53:00,4340,538,NA,NA,NA,NA,1,1,1,2018-12-16,184,22.79,17.38,"F","DNA",-0.145265962246814,1,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,46133,NA,NA
"KA","CROZ","CROZ",2016,1,46135,NA,2002,NA,14,1,6035,2016-12-22,NA,4775,NA,NA,NA,NA,NA,1,1,2,2016-12-22,190,23.69,16.69,"M","DNA",0.0158697877027911,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,46135,NA,NA
"KA","CROZ","CROZ",2016,1,46234,NA,2002,NA,14,1,557,2016-12-12,18:11:20,5175,564,NA,NA,NA,NA,1,1,2,2016-12-12,181,23.06,18.74,"M","DNA",0.399079717999686,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,46234,NA,NA
"KA","CROZ","CROZ",2016,1,46249,NA,2002,NA,14,1,523,2016-12-21,19:43:21,5400,NA,2017-11-04,16:19:00,5750,573,1,0,0,2016-12-21,194,24.4,18.33,"M","DNA",0.252964789538297,1,1,1,1,1,1,0,"000046249_0523c16.txt","11/15/2016","11/19/2017","c",369,0,46249,"46249_movementSummary.csv","000046249_0523c16_diveStats.csv"
"KA","CROZ","CROZ",2017,2,46249,NA,2002,NA,15,2,1706034,2017-11-04,16:19:00,5750,573,NA,NA,NA,NA,1,1,1,2016-12-21,194,24.4,18.33,"M","DNA",0.252964789538297,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,46249,NA,NA
"KA","CROZ","CROZ",2016,1,46279,NA,2002,NA,14,1,6134,2016-12-05,16:08:00,4050,491,2017-11-17,18:58:00,3780,501,1,1,8,2016-12-05,173,21.93,14.86,"F","DNA",0.344682434865146,1,1,1,1,0,0,0,"000046279_6134c16.txt","11/15/2016","11/19/2017","c",369,0,46279,"46279_movementSummary.csv","000046279_6134c16_diveStats.csv"
"KA","CROZ","CROZ",2017,2,46279,NA,2002,NA,15,2,1706118,2017-11-17,18:58:00,3780,501,2018-11-08,18:00:00,4090,487,1,0,0,2016-12-05,173,21.93,14.86,"F","DNA",0.344682434865146,1,1,8,1,1,1,0,"000046279_0118c17.txt","10/20/2017","2/26/2019","c",494,0,46279,"46279_movementSummary.csv","000046279_0118c17_diveStats.csv"
"KA","CROZ","CROZ",2018,3,46279,NA,2002,NA,16,3,1801107,2018-11-08,18:00:00,4090,487,NA,NA,NA,NA,1,1,1,2016-12-05,173,21.93,14.86,"F","DNA",0.344682434865146,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,46279,NA,NA
"KA","CROZ","CROZ",2016,1,46311,NA,2002,NA,14,0,6032,2016-11-27,17:48:00,4500,522,2017-11-01,14:45:00,4450,520,1,1,2,2016-11-27,183,23.12,17.56,"F","DNA",-0.0156296730220122,0,0,0,1,1,2,0,"000046311_6032c16.txt","11/15/2016","11/19/2017","c",369,0,46311,"46311_movementSummary.csv","000046311_6032c16_diveStats.csv"
"KA","CROZ","CROZ",2017,2,46311,NA,2002,NA,15,1,1706083,2017-11-01,14:45:00,4450,520,2018-10-31,18:27:00,5100,513,1,1,2,2016-11-27,183,23.12,17.56,"F","DNA",-0.0156296730220122,1,1,2,1,0,0,0,"000046311_0083c17.txt","10/20/2017","2/26/2019","c",494,0,46311,"46311_movementSummary.csv","000046311_0083c17_diveStats.csv"
"KA","CROZ","CROZ",2018,3,46311,NA,2002,NA,16,2,1801141,2018-10-31,18:27:00,5100,513,NA,NA,NA,NA,1,0,0,2016-11-27,183,23.12,17.56,"F","DNA",-0.0156296730220122,1,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,46311,NA,NA
"KA","CROZ","CROZ",2016,1,46334,NA,2002,NA,14,0,321,2016-12-13,17:59:00,4425,482,NA,NA,NA,NA,1,1,1,2016-12-13,177,22,16.81,"F","DNA",-0.14637482745486,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,46334,NA,NA
"KA","CROZ","CROZ",2016,1,46404,NA,2002,NA,14,1,369,2016-11-28,19:59:00,3650,517,NA,NA,NA,NA,1,0,0,2016-11-28,184,25.21,18.7,"M","DNA",-0.142319220174626,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,46404,NA,NA
"KA","CROZ","CROZ",2016,1,46408,NA,2002,NA,14,0,6117,2016-12-10,19:14:45,4550,523,2017-11-21,18:27:00,4080,484,1,0,0,2016-12-10,173,21.69,19.34,"F","DNA",-0.197447854840194,0,0,0,1,1,2,0,"000046408_6117c16.txt","8/24/2016","8/29/2017","i",370,1,46408,"46408_movementSummary.csv","000046408_6117c16_diveStats.csv"
"KA","CROZ","CROZ",2017,2,46408,NA,2002,NA,15,1,1706129,2017-11-21,18:27:00,4080,484,2018-11-06,17:09:00,4690,514,1,1,2,2016-12-10,173,21.69,19.34,"F","DNA",-0.197447854840194,1,0,0,1,1,2,0,"000046408_0129c17.txt","10/20/2017","2/26/2019","c",494,0,46408,"46408_movementSummary.csv","000046408_0129c17_diveStats.csv"
"KA","CROZ","CROZ",2018,3,46408,NA,2002,NA,16,2,1801003,2018-11-06,17:09:00,4690,514,2019-11-08,17:57:00,4950,506,1,1,2,2016-12-10,173,21.69,19.34,"F","DNA",-0.197447854840194,1,1,2,1,1,8,0,"000046408_1801003c18.txt","10/20/2018","12/24/2018","i",65,0,46408,NA,"000046408_1801003c18_diveStats.csv"
"KA","CROZ","CROZ",2017,1,46478,NA,2002,NA,15,1,1706049,2017-12-19,NA,5360,529,2018-11-02,13:47:00,4870,503,1,1,1,2017-12-19,188,23.5,17.48,"M","DNA",-0.0312302684066817,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,46478,NA,NA
