colony,location,subcolony,nest,begin,result,result_st,result_dt,chick1size,chick2size,empty_dt,ad1,ad2,note
"CROZ","M","18",71362,"1E","CR8?","G",12/29/2021,"MEL2","GF1",01/02/2022,"71362","UB",""
"CROZ","M","20",48391,"1E","CR1?","G",01/03/2022,"PA","",01/06/2022,"48391","UB",""
"CROZ","M","17",69555,"1E","CR1?","G",12/29/2021,"PA+","",01/02/2022,"69555","UB",""
"CROZ","M","8",65912,"1E","FAIL","G",01/02/2022,"GF1","",01/06/2022,"65912","UB","ASSUME FAIL BECAUSE CHICK SIZE"
"CROZ","M","18",70545,"1E","FAIL","BR",01/02/2022,"GF1","OR2",01/06/2022,"70545","UB",""
"CROZ","M","23",50395,"1E","CR1?","BR",01/06/2022,"MEL1","",01/10/2022,"50395","UB",""
"CROZ","M","39",66038,"2E","FAIL","BR",12/29/2021,"OR1","",01/02/2022,"66038","UB","ASSUME FAIL CHICK SIZE"
"CROZ","M","23",51491,"1E","FAIL","G",01/02/2022,"GF1","OR2",01/06/2022,"51491","UB","CHX TOO SMALL :("
"CROZ","M","23",72148,"1E","CR1?","G",01/02/2022,"PA","",01/06/2022,"72148","UB",""
"CROZ","M","8",69286,"1E","FAIL","BR",01/02/2022,"OR2","",01/06/2022,"69286","UB","ASSUME FAIL CHICK SIZE"
"CROZ","C","",69361,"1E","UNK","BR",01/03/2022,"GF1","GF1",01/07/2022,"69361","UB",""
"CROZ","M","20",75458,"1E","FAIL","INC",12/09/2021,"","",12/20/2021,"75458","UB",""
"CROZ","M","2",69828,"1E","CR1?","G",01/06/2022,"PA","",01/10/2022,"69828","UB","ASSUME CR CHICK SIZE"
"CROZ","P","",5902,"1E","FAIL","BR",12/25/2021,"OR2","OR2",12/30/2021,"5902","UB",""
"CROZ","M","8",70633,"2E","FAIL","INC",12/20/2021,"","",01/05/2022,"70633","UB",""
"CROZ","M","40",70685,"2E","CR1?","BR",01/02/2022,"MEL1","",01/06/2022,"70685","UB","ASSUME CR CHICK SIZE"
"CROZ","L","LIS",66199,"1E","FAIL","G",01/07/2022,"GF1","",01/13/2022,"66199","UB",""
"CROZ","M","36",70880,"1E","FAIL","BR",01/06/2022,"OR1","OR1",01/10/2022,"70880","UB","ASSUME FAIL, CHICK SIZE"
"CROZ","B","",72039,"2E","CR2?","BR",12/30/2021,"MEL2","GF2",01/05/2022,"72039","UB",""
"CROZ","M","2",71341,"1E","CR2?","INC",11/10/2021,"MEL2","MEL1",01/06/2022,"71341","UB","ASSUME CR, CHICK SIZE"
"CROZ","M","2",71632,"1E","FAIL","BR",12/24/2021,"OR1","",01/02/2022,"71632","UB",""
"CROZ","M","2",71915,"1E","FAIL","BR",12/29/2021,"OR2","",01/02/2021,"71915","UB","ASSUME FAIL, CHICK SIZE"
"CROZ","M","5",31884,"2E","CR8?","G",01/02/2022,"MEL","",01/06/2022,"31884","UB",""
"CROZ","N","",47953,"2E","CR8?","BR",12/29/2021,"GF2","GF1",01/03/2022,"47953","UB",""
"CROZ","M","8",72079,"1E","CR1?","G",01/06/2022,"MEL1","",01/10/2022,"72079","UB",""
"CROZ","M","3",49012,"2E","FAIL","INC",01/10/2022,"","",01/17/2022,"49012","UB",""
"CROZ","P","",50494,"1E","CR1?","BR",01/03/2022,"GF2","",01/07/2022,"50494","UB",""
"CROZ","M","1",72140,"2E","FAIL","BR",01/02/2022,"OR2","OR2",01/06/2022,"72140","UB",""
"CROZ","D","",51548,"2E","CR8?","BR",01/02/2022,"GF2","GF1",01/07/2022,"51548","UB",""
"CROZ","G","",62089,"1E","FAIL","BR",01/02/2022,"GF1","OR1",01/07/2022,"62089","UB","ASSUMED FAIL CH SIZE, NOT SURE GF WAS ITS CH, STILL ON 1E 12/23"
"CROZ","M","1",72158,"2E","CR1?","BR",01/10/2022,"GF2","",01/17/2022,"72158","UB",""
"CROZ","M","2",72815,"1E","FAIL","BR",01/06/2022,"OR2","",01/13/2022,"72815","UB",""
"CROZ","M","31",65778,"2E","FAIL","BR",12/29/2021,"OR","OR",01/02/2022,"65778","UB","CHX TOO SM TO CR EVEN WITH NOT GIVING THE ORANGES A NUMBER"
"CROZ","M","1",72873,"2E","CR1?","BR",01/13/2022,"MEL1","",01/17/2022,"72873","UB","ASSUME CR, CHICK SIZE"
"CROZ","M","34-35",65852,"1E","CR1?","G",01/06/2022,"PA","",01/10/2022,"65852","UB",""
"CROZ","L","",65934,"2E","CR1?","BR",01/07/2022,"MEL1","",01/13/2022,"65934","UB",""
"CROZ","M","WB2",66144,"2E","CR8?","G",01/02/2022,"GF2","GF1",01/06/2022,"66144","UB",""
"CROZ","M","2",74341,"9E","UNK","INC",12/09/2021,"","",12/09/2021,"74341","UB","PROBABLY NEVER ACTIVE. SEEN ONCE AS INC 9"
"CROZ","HK","",66336,"2E","CR1?","BR",01/03/2022,"MEL1","",01/11/2022,"66336","UB",""
"CROZ","N","",70516,"2E","CR1?","BR",01/07/2022,"MEL1","",01/13/2022,"70516","UB",""
"CROZ","M","2",74644,"2C","FAIL","BR",01/06/2022,"OR2","",01/10/2022,"74644","UB","ASSUME FAIL, CHICK SIZE"
"CROZ","M","3",70770,"2E","CR8?","G",01/06/2022,"GF2","",01/10/2022,"70770","UB",""
"CROZ","M","MIS",70996,"2E","FAIL","BR",12/29/2021,"OR2","OR2",01/02/2022,"70996","UB",""
"CROZ","C","",74765,"2C","FAIL","BR",12/30/2021,"GF1","",01/03/2022,"74765","UB",""
"CROZ","M","3A",71439,"1E","FAIL","INC",12/09/2021,"","",12/20/2021,"71439","UB",""
"CROZ","M","1",74912,"1E","FAIL","BR",01/10/2022,"GF1","",01/17/2021,"74912","UB","OFFICIAL STATUS = FAIL BUT PRETTY CERTAIN I SAW THIS CHICK WANDERING NEXT TO NEST AS GF2. SYSTEM DID THIS BIRD DIRTY."
"CROZ","M","3A",71462,"1E","FAIL","BR",01/06/2022,"GF1","",01/10/2022,"71462","UB",""
"CROZ","C","",75266,"1E","CR8?","BR",01/07/2022,"GF2","OR1",01/11/2022,"75266","UB","ASSUME CR 1, FAIL 1 DUE TO CHX SIZES"
"CROZ","M","5",71485,"1E","CR1?","BR",12/29/2021,"GF2","",01/02/2022,"71485","UB",""
"CROZ","M","8",79162,"1E","CR1?","BR",01/06/2022,"GF2","",01/10/2022,"79162","UB","ASSUME CR, CHX SIZE"
"CROZ","M","2",79476,"2E","FAIL","INC",11/30/2021,"","",12/05/2021,"79476","UB",""
"CROZ","M","38",79928,"9E","UNK","INC",12/09/2021,"","",/  /,"79928","UB","PROBABLY NEVER ACTIVE. SEEN ONCE AS INC 9"
"CROZ","L","LCITY",71497,"2E","CR8?","G",01/03/2022,"GF2","",01/07/2022,"71497","UB",""
"CROZ","L","",74580,"2E","FAIL","BR",01/07/2022,"OR2","OR1",01/13/2022,"74580","UB","CHX TOO SM TO CR"
"CROZ","L","",74636,"2E","FAIL","BR",12/30/2021,"GF1","OR1",01/03/2022,"74636","UB","ASSUMED FAIL CH SIZE"
"CROZ","M","31A",74729,"2E","CR8?","BR",01/02/2022,"GF2","OR2",01/06/2022,"74729","UB",""
