proofed,bandnumb,bandseen,location,status,nuegg,nuch,bandgap,subcolony,flagged,chick1size,chick2size,chick1age,chick2age,sex,sexhow,nestpos,date,initials,notes,lat,lon,datum,orig_col,colony
1,72148,"Y","M","P/FBN",0,0,0,"23"," ","","",0,0,"F","BS",1,11/05/2021,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71362,"Y","M","P/WBN",0,0,1,"18"," ","","",0,0,"U","",3,11/05/2021,"AS","MALE?",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,48391,"Y","M","P/FBN",0,0,0,"20"," ","","",0,0,"F","BS",2,11/05/2021,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,65914,"Y","B","P/FBN",0,0,0,""," ","","",0,0,"M","BS",2,11/05/2021,"AS","MALE BY EV ALSO",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,79483,"Y","M","PBN",0,0,0,"12","N","","",0,0,"M","EV",1,11/05/2021,"DK","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71362,"Y","M","P/FBN",0,0,1,"18","N","","",0,0,"U","",3,11/05/2021,"DK","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,48391,"Y","M","P/WBN",0,0,1,"20"," ","","",0,0,"F","HS",2,11/05/2021,"DK","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,65914,"Y","B","P/FBN",0,0,0,"","N","","",0,0,"M","EV",2,11/05/2021,"DK","GPSed",-77.449294,169.222651,"WGS84","CROZ","CROZ"
1,79550,"Y","M","P/FBN",0,0,0,"3","N","","",0,0,"F","TM",1,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,70996,"Y","M","P/FBN",0,0,1,"MIS"," ","","",0,0,"F","BS",2,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,66027,"Y","M","FBN",0,0,1,"MIS"," ","","",0,0,"M","TIME",2,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71896,"Y","M","P/FBN",0,0,0,"40"," ","","",0,0,"M","SIZE",7,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,70685,"Y","M","P/WBN",0,0,2,"39/40"," ","","",0,0,"U","",7,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,70349,"Y","M","P/PBN",0,0,1,"40"," ","","",0,0,"M","EV",5,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,72792,"Y","M","FBN",0,0,0,"39/40"," ","","",0,0,"M","TIME",3,11/07/2021,"GB","CONTENTS NOT SEEN",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71439,"Y","M","FBN",0,0,1,"3A"," ","","",0,0,"M","TIME",2,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71632,"Y","M","P/FBN",0,0,0,"2"," ","","",0,0,"F","SIZE",3,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,79476,"Y","M","PBN",0,0,0,"2"," ","","",0,0,"M","EV",5,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,49012,"Y","M","PBN",0,0,1,"3"," ","","",0,0,"M","TIME",3,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71485,"Y","M","P/FBN",0,0,0,"5"," ","","",0,0,"M","SIZE",2,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,72062,"Y","M","PBN",0,0,0,"2"," ","","",0,0,"M","TIME",2,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,50936,"Y","M","P/WBN",0,0,0,"1"," ","","",0,0,"M","SIZE",3,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,69928,"Y","M","PBN",0,0,0,"38"," ","","",0,0,"M","TIME",4,11/07/2021,"GB","LYT",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,70880,"Y","M","P/FBN",0,0,1,"36"," ","","",0,0,"M","SIZE",2,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,69555,"Y","M","P/INC",1,0,0,"17","Y","","",0,0,"F","SIZE",1,11/07/2021,"GB","",-77.452082,169.231897,"WGS84","CROZ","CROZ"
1,71362,"Y","M","P/INC",1,0,2,"18","Y","","",0,0,"F","SIZE",3,11/07/2021,"GB","",-77.452007,169.231091,"WGS84","CROZ","CROZ"
1,79231,"Y","M","P/SC",0,0,0,"18"," ","","",0,0,"M","BS",2,11/07/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,72148,"Y","M","P/FBN",0,0,0,"23"," ","","",0,0,"F","SIZE",2,11/05/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,79483,"Y","M","FBN",0,0,0,"12"," ","","",0,0,"M","EV",1,11/05/2021,"GB","STEALING PEBBLES",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71362,"Y","M","KC/FBN",0,0,1,"19"," ","","",0,0,"U","",3,11/05/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,48391,"Y","M","P/WBN",0,0,0,"20"," ","","",0,0,"F","SIZE",2,11/05/2021,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71329,"Y","C","P/PBN",0,0,1,"","N","","",0,0,"U","",1,11/07/2021,"DK","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,48379,"Y","M","P/PBN",0,0,0,"7","N","","",0,0,"U","",5,11/07/2021,"DK","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,31884,"Y","M","P/FBN",0,0,1,"5","N","","",0,0,"U","",2,11/07/2021,"DK","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,50936,"Y","M","P/WBN",0,0,0,"1","N","","",0,0,"M","HS",2,11/07/2021,"DK","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,70880,"Y","M","P/FBN",0,0,1,"36","N","","",0,0,"U","",3,11/07/2021,"DK","MALE? HS, UNSURE",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,79550,"Y","M","P/INC",9,0,0,"3","N","","",0,0,"U","",1,11/07/2021,"DK","F? LOOKED LIKE MAYBE HAD TM",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71091,"Y","M","FBN",0,0,0,"WB2","N","","",0,0,"M","TIME",2,11/07/2021,"DK","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71485,"Y","M","P/PBN",0,0,1,"5"," ","","",0,0,"M","COP",2,11/07/2021,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,48379,"Y","M","P/PBN",0,0,0,"7"," ","","",0,0,"M","SIZE",2,11/07/2021,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,69286,"Y","M","P/PBN",0,0,0,"8"," ","","",0,0,"F","SIZE",1,11/07/2021,"AS","SAME SPOT AS LY",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,31884,"Y","M","P/WBN",0,0,1,"5"," ","","",0,0,"M","BS",3,11/07/2021,"AS","A FEW NESTS FROM LY SPOT",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,49012,"Y","M","SC",0,0,1,"3"," ","","",0,0,"M","TIME",3,11/07/2021,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71091,"Y","M","FBN",0,0,0,"WB2"," ","","",0,0,"M","TIME",2,11/07/2021,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,74927,"Y","M","STD",0,0,1,"23A"," ","","",0,0,"U","",0,11/07/2021,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,51491,"Y","M","P/FBN",0,0,0,"23"," ","","",0,0,"U","",2,11/07/2021,"AS","LOOKED MALE BUT THINK THIS BIRD IS FEMALE?",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,79483,"Y","M","P/WBN",0,0,0,"12"," ","","",0,0,"F","BS",1,11/07/2021,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,69555,"Y","M","P/INC",1,0,0,"15-17"," ","","",0,0,"F","BS",1,11/07/2021,"AS","GB FLAGGED",0.000000,0.000000,"WGS84","CROZ","CROZ"
