proofed,bandnumb,bandseen,location,status,nuegg,nuch,bandgap,subcolony,flagged,chick1size,chick2size,chick1age,chick2age,sex,sexhow,nestpos,date,initials,notes,lat,lon,datum,orig_col,colony
1,71424,"Y","M","P/FBN",0,0,0,"39","N","","",0,0,"M","BS",1,10/31/2018,"KS","OUTSIDE SUBCOLONY",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71511,"Y","M","P/FBN",0,0,0,"39","N","","",0,0,"F","HS",1,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,50995,"Y","M","P/FBN",0,0,2,"39","N","","",0,0,"U","",3,10/31/2018,"KS","MALE? BY BILL SIZE",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,50976,"Y","M","P/PBN",0,0,0,"40","N","","",0,0,"U","",3,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,72963,"Y","M","P/PBN",0,0,1,"40","N","","",0,0,"U","",3,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,72138,"Y","M","P/SC",0,0,0,"40","N","","",0,0,"M","BS",2,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,72974,"Y","M","P/FBN",0,0,1,"WB2","N","","",0,0,"M","BS",1,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71715,"Y","M","PBN",0,0,0,"40","N","","",0,0,"M","SIZE",4,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71091,"Y","M","FBN",0,0,1,"WB2","N","","",0,0,"U","",3,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,70500,"Y","M","P/PBN",0,0,1,"WB2","N","","",0,0,"F","COP",2,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,43575,"Y","M","P/FBN",0,0,1,"4A","N","","",0,0,"F","SIZE",4,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,62327,"Y","M","P/SC",0,0,0,"3","N","","",0,0,"M","SIZE",1,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,41854,"Y","M","P/FBN",0,0,0,"3","N","","",0,0,"F","BS",1,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71477,"Y","M","P/PBN",0,0,0,"3","N","","",0,0,"F","SIZE",1,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,66027,"Y","M","PBN",0,0,1,"39","N","","",0,0,"U","",1,10/31/2018,"KS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71381,"Y","N","P/FBN",0,0,1,"","N","","",0,0,"F","TM",3,10/31/2018,"AL","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,49990,"N","B","UNK",0,0,9,""," ","","",0,0,"U","",0,10/31/2018,"AL","FLAG IS OUT, ON THE GROUND OUTSIDE OF THE SUBCOL",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,72060,"Y","B","P/PBN",0,0,2,""," ","","",0,0,"F","BS",3,10/31/2018,"AL","DIRTY BAND, NOT 100% SURE OF LAST DIGIT",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,48840,"Y","B","P/PBN",0,0,9,""," ","","",0,0,"U","",4,10/31/2018,"AL","GDR BIRD! TO BE RECOVERED. TOMORROW.",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71362,"Y","M","P/PBN",0,0,1,"18","N","","",0,0,"F","BS",2,10/31/2018,"AL","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71906,"Y","M","P/PBN",0,0,0,"18","N","","",0,0,"F","BS",3,10/31/2018,"AL","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,69555,"Y","M","P/PBN",0,0,1,"17"," ","","",0,0,"F","BS",2,10/31/2018,"AL","LYT",0.000000,0.000000,"WGS84","CROZ","CROZ"
