nestid,date,status,nest_quality,egg_n,chick_n,ch1_size,ch2_size,n_neighbors,observer,proofed,notes
solo1,11/18/2021,FBN,,0,0,,,0,DK,1,another male standing nearby EVing but he doesn't have a nest
solo2,11/18/2021,KC/FBN,,0,0,,,0,DK,1,nearest subcol member also pretty far (1.5m) from other nesters
solo3,11/18/2021,P/WBN,,0,0,,,0,DK,1,
solo4,11/18/2021,KC/WBN,,0,0,,,0,DK,1,
solo5,11/18/2021,P/INC,,8,0,,,0,DK,1,rock wall barrier built out of like 6 rocks
solo6,11/19/2021,WBN,,2,0,,,0,DK,1,"nest is in snow, 1 rock at bow & 1 astern "
solo7,11/19/2021,KC/FBN,,0,0,,,0,DK,1,
solo8,11/19/2021,WBN,,1,0,,,0,DK,1,
solo9,11/19/2021,FBN,,0,0,,,0,DK,1,
solo10,11/20/2021,PBN,,0,0,,,0,DK,1,
solo11,11/20/2021,FBN,,0,0,,,0,DK,1,ran away from nest as I approached ~5m away
solo12,11/20/2021,WBN,,0,0,,,0,DK,1,
solo13,11/20/2021,WBN,,0,0,,,0,DK,1,
solo14,11/20/2021,FBN,,2,0,,,0,DK,1,
solo15,11/20/2021,FBN,,0,0,,,0,DK,1,
solo16,11/20/2021,FBN,,0,0,,,0,DK,1,
solo17,11/20/2021,P/WBN,,2,0,,,0,DK,1,
solo18,11/20/2021,PBN,,0,0,,,0,DK,1,EVing
solo19,11/20/2021,FBN,,0,0,,,0,DK,1,
solo20,11/20/2021,WBN,,8,0,,,0,DK,1,
solo21,11/20/2021,FBN,,2,0,,,0,DK,1,
solo22,11/18/2021,P/INC,,2,0,,,0,AS,,Rock size of 2 penguins
solo23,11/18/2021,INC,,2,0,,,0,AS,,One neighbor ~3m away
solo24,11/18/2021,PBN,,0,0,,,0,AS,,Small pebbles
solo25,11/18/2021,INC,,2,0,,,0,AS,,"Nest on snow, eggs wet"
solo26,11/18/2021,INC,,2,0,,,0,AS,,"Rock downhill, only gravel nearby"
solo27,11/18/2021,WBN,,0,0,,,0,AS,,
solo28,11/18/2021,WBN,,0,0,,,0,AS,,Looks like old subcolony
solo29,11/19/2021,,,1,0,,,0,AS,,"Maybe only 2 m from another solo nest, no rock, but dirt ledge providing shelter"
solo30,11/19/2021,WBN,,0,0,,,0,AS,,
solo31,11/20/2021,P/PBN,,0,0,,,0,AS,,
solo32,11/20/2021,P/FBN,,1,0,,,0,AS,,
solo33,11/20/2021,WBN,,1,0,,,0,AS,,
solo34,11/20/2021,WBN,,2,0,,,0,AS,,Rock not providing protection
