fish_tag,nest_id,FT_removed,avid,CR,notes,nestprod
406,1,1,711001366,1,,2
405,1,0,NA,1,,
402,4,1,711000523,1,,1
700,5,1,711001053,1,,1
691,7,1,711001098,1,,1
413,9,1,711000961,1,,2
404,9,1,711001006,1,,
690,12,1,711000917,1,,1
692,14,1,711000554,1,,1
403,15,1,711001002,1,,1
699,18,1,711001409,1,,2
698,18,1,711000610,1,,
697,19,1,711001397,1,,2
696,19,1,NA,1,too small for avid,
414,20,1,711001328,1,,1
686,21,1,711000489,1,,1
695,25,1,711000491,1,,2
694,25,1,NA,1,too small for avid,
685,26,1,711001455,1,,2
684,26,1,711000953,1,,
688,27,1,711000561,1,,1
687,27,0,NA,0,,
693,28,1,711000986,1,,1
